2026-06-29 14:29:04,894 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM100 | subtask=1 | min=4716ms | max=4716ms | avg=4716.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,894 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-1day-result-WM100 | subtask=0 | min=4946ms | max=4946ms | avg=4946.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,894 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-7day-result-WM100 | subtask=0 | min=4946ms | max=4946ms | avg=4946.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,894 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q3-7day-result-WM100 | subtask=1 | min=4716ms | max=4716ms | avg=4716.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:04,958 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM100 | subtask=1 | min=583ms | max=583ms | avg=583.00ms | windowEvents=1 | totalEvents=1
2026-06-29 14:29:07,053 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=1 | min=96ms | max=381ms | avg=211.80ms | windowEvents=44 | totalEvents=55
2026-06-29 14:29:07,053 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM15 | subtask=0 | min=122ms | max=473ms | avg=234.22ms | windowEvents=50 | totalEvents=65
2026-06-29 14:29:07,072 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=0 | min=235ms | max=440ms | avg=342.47ms | windowEvents=70 | totalEvents=75
2026-06-29 14:29:07,081 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=0 | min=392ms | max=697ms | avg=507.74ms | windowEvents=50 | totalEvents=63
2026-06-29 14:29:07,081 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-WM100 | subtask=1 | min=392ms | max=605ms | avg=491.64ms | windowEvents=44 | totalEvents=53
2026-06-29 14:29:07,087 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=0 | min=106ms | max=502ms | avg=228.83ms | windowEvents=48 | totalEvents=65
2026-06-29 14:29:07,087 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q1-1h-result-ADAPTIVE | subtask=1 | min=96ms | max=315ms | avg=210.02ms | windowEvents=42 | totalEvents=55
2026-06-29 14:29:07,157 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM100 | subtask=0 | min=490ms | max=702ms | avg=580.49ms | windowEvents=61 | totalEvents=66
2026-06-29 14:29:07,373 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=0 | min=129ms | max=393ms | avg=291.39ms | windowEvents=66 | totalEvents=80
2026-06-29 14:29:07,573 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-ADAPTIVE | subtask=1 | min=199ms | max=371ms | avg=291.49ms | windowEvents=76 | totalEvents=77
2026-06-29 14:29:07,773 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-1h-result-WM15 | subtask=1 | min=244ms | max=414ms | avg=319.22ms | windowEvents=76 | totalEvents=77
2026-06-29 14:29:07,957 INFO  it.uniroma2.sabd.flink.controller.LatencyMonitor             [] - LATENCY_MONITOR | label=q2-6h-result-WM15 | subtask=0 | min=227ms | max=491ms | avg=355.00ms | windowEvents=30 | totalEvents=31
