timestamp_ms,label,source_subtask_index,window_start_ms,window_end_ms,window_duration_ms,window_events,total_events,instant_throughput_events_per_second,average_throughput_events_per_second,watermark_strategy,parallelism
1782828428699,q1-1h-result-WM15-global,-1,1782828422594,1782828428699,6105,2,2,0.328,0.328,WM15,2
1782828429810,q2-1h-result-WM15-global,-1,1782828422545,1782828429810,7265,1,1,0.138,0.138,WM15,2
1782828430412,q2-1h-result-WM15-global,-1,1782828422611,1782828430412,7801,1,1,0.128,0.128,WM15,2
1782828432943,q3-1day-result-WM15-global,-1,1782828422494,1782828432943,10449,2,2,0.193,0.193,WM15,2
1782828432948,q3-7day-result-WM15-global,-1,1782828422597,1782828432948,10351,2,2,0.193,0.193,WM15,2
1782828432998,q2-6h-result-WM15-global,-1,1782828422528,1782828432998,10470,2,2,0.217,0.217,WM15,2
1782828434144,q1-1h-result-WM15-global,-1,1782828428699,1782828434144,5445,88,90,16.862,7.946,WM15,2
1782828436005,q2-1h-result-WM15-global,-1,1782828429810,1782828436005,6195,132,134,24.370,10.324,WM15,2
1782828436398,q2-6h-result-WM15-global,-1,1782828430809,1782828436398,5589,30,31,5.368,2.235,WM15,2
1782828439148,q1-1h-result-WM15-global,-1,1782828433743,1782828439148,5405,93,183,18.583,11.201,WM15,2
1782828441009,q2-1h-result-WM15-global,-1,1782828435004,1782828441009,6005,154,288,30.058,15.993,WM15,2
1782828442001,q2-6h-result-WM15-global,-1,1782828436398,1782828442001,5603,30,61,5.354,3.133,WM15,2
1782828442007,q3-1day-result-WM15-global,-1,1782828432943,1782828442007,9064,165,167,18.204,8.582,WM15,2
1782828444216,q1-1h-result-WM15-global,-1,1782828438748,1782828444216,5468,93,276,18.472,12.913,WM15,2
1782828446013,q2-1h-result-WM15-global,-1,1782828440209,1782828446013,5804,140,428,27.978,18.636,WM15,2
1782828449257,q1-1h-result-WM15-global,-1,1782828443752,1782828449257,5505,93,369,18.324,13.952,WM15,2
