timestamp_ms,label,source_subtask_index,window_start_ms,window_end_ms,window_duration_ms,window_events,total_events,min_latency_ms,max_latency_ms,avg_latency_ms,watermark_strategy,parallelism
1782468886167,producer->flink-WM30,0,1782468881157,1782468886167,5010,16456,16456,1,113937,104786.206,WM30,4
1782468886195,producer->flink-WM30,1,1782468881182,1782468886195,5013,20024,20024,0,114056,103825.228,WM30,4
1782468886197,producer->flink-WM30,2,1782468881159,1782468886197,5038,16442,16442,0,114077,102880.273,WM30,4
1782468886356,producer->flink-WM30,3,1782468881203,1782468886356,5153,21054,21054,0,114024,102591.654,WM30,4
1782468891200,producer->flink-WM30,2,1782468886197,1782468891200,5003,5121,21563,0,6,1.184,WM30,4
1782468891240,producer->flink-WM30,1,1782468886195,1782468891240,5045,5697,25721,0,4,1.012,WM30,4
1782468891275,producer->flink-WM30,0,1782468886167,1782468891275,5108,5194,21650,0,4,1.032,WM30,4
1782468891378,producer->flink-WM30,3,1782468886356,1782468891378,5022,5303,26357,0,4,0.951,WM30,4
1782468896200,producer->flink-WM30,2,1782468891200,1782468896200,5000,6223,27786,0,5,0.881,WM30,4
1782468896300,producer->flink-WM30,1,1782468891240,1782468896300,5060,4932,30653,0,4,0.856,WM30,4
1782468896315,producer->flink-WM30,0,1782468891275,1782468896315,5040,6005,27655,0,6,0.967,WM30,4
1782468896381,producer->flink-WM30,3,1782468891378,1782468896381,5003,5787,32144,0,3,0.867,WM30,4
1782468901200,producer->flink-WM30,2,1782468896200,1782468901200,5000,5383,33169,0,5,0.831,WM30,4
1782468901302,producer->flink-WM30,1,1782468896300,1782468901302,5002,6172,36825,0,3,0.800,WM30,4
1782468901336,producer->flink-WM30,0,1782468896315,1782468901336,5021,5455,33110,0,4,0.755,WM30,4
1782468901742,producer->flink-WM30,3,1782468896381,1782468901742,5361,5286,37430,0,6,0.822,WM30,4
1782468906200,producer->flink-WM30,2,1782468901200,1782468906200,5000,5827,38996,0,4,0.704,WM30,4
1782468906318,producer->flink-WM30,1,1782468901302,1782468906318,5016,4740,41565,0,4,0.780,WM30,4
1782468906394,producer->flink-WM30,0,1782468901336,1782468906394,5058,6384,39494,0,40,0.699,WM30,4
