timestamp_ms,label,source_subtask_index,window_start_ms,window_end_ms,window_duration_ms,window_events,total_events,instant_throughput_events_per_second,average_throughput_events_per_second,watermark_strategy,parallelism
1782566915962,watermark-WM100,1,1782566910703,1782566915962,5259,1,1,0.190,0.190,WM100,4
1782566920993,watermark-WM100,1,1782566915962,1782566920993,5031,16888,16889,3356.788,1641.302,WM100,4
1782566925993,watermark-WM100,1,1782566920993,1782566925993,5000,21047,37936,4209.400,2481.099,WM100,4
1782566930993,watermark-WM100,1,1782566925993,1782566930993,5000,22153,60089,4430.600,2961.508,WM100,4
1782566935993,watermark-WM100,1,1782566930993,1782566935993,5000,21526,81615,4305.200,3227.165,WM100,4
1782566940994,watermark-WM100,1,1782566935993,1782566940994,5001,22421,104036,4483.303,3434.552,WM100,4
1782566945995,watermark-WM100,1,1782566940994,1782566945995,5001,20007,124043,4000.600,3514.763,WM100,4
1782566950996,watermark-WM100,1,1782566945995,1782566950996,5001,18898,142941,3778.844,3547.539,WM100,4
1782566955997,watermark-WM100,1,1782566950996,1782566955997,5001,19493,162434,3897.820,3586.215,WM100,4
1782566960998,watermark-WM100,1,1782566955997,1782566960998,5001,18420,180854,3683.263,3595.864,WM100,4
1782566966145,watermark-WM100,1,1782566960998,1782566966145,5147,15014,195868,2917.039,3532.845,WM100,4
1782566971146,watermark-WM100,1,1782566966145,1782566971146,5001,19509,215377,3901.020,3563.308,WM100,4
1782566976146,watermark-WM100,1,1782566971146,1782566976146,5000,20572,235949,4114.400,3605.412,WM100,4
1782566981147,watermark-WM100,1,1782566976146,1782566981147,5001,18538,254487,3706.859,3612.614,WM100,4
1782566986149,watermark-WM100,1,1782566981147,1782566986149,5002,19763,274250,3951.020,3635.050,WM100,4
1782566991150,watermark-WM100,1,1782566986149,1782566991150,5001,21521,295771,4303.339,3676.595,WM100,4
1782566996150,watermark-WM100,1,1782566991150,1782566996150,5000,18429,314200,3685.800,3677.133,WM100,4
1782567001150,watermark-WM100,1,1782566996150,1782567001150,5000,17817,332017,3563.400,3670.846,WM100,4
1782567006151,watermark-WM100,1,1782567001150,1782567006151,5001,18954,350971,3790.042,3677.091,WM100,4
1782567011212,watermark-WM100,1,1782567006151,1782567011212,5061,16047,367018,3170.717,3651.593,WM100,4
1782567016212,watermark-WM100,1,1782567011212,1782567016212,5000,17422,384440,3484.400,3643.670,WM100,4
1782567021212,watermark-WM100,1,1782567016212,1782567021212,5000,21518,405958,4303.600,3673.529,WM100,4
1782567026214,watermark-WM100,1,1782567021212,1782567026214,5002,20241,426199,4046.581,3689.683,WM100,4
1782567031214,watermark-WM100,1,1782567026214,1782567031214,5000,18791,444990,3758.200,3692.526,WM100,4
1782567036214,watermark-WM100,1,1782567031214,1782567036214,5000,21618,466608,4323.600,3717.666,WM100,4
1782567041214,watermark-WM100,1,1782567036214,1782567041214,5000,19102,485710,3820.400,3721.602,WM100,4
1782567046214,watermark-WM100,1,1782567041214,1782567046214,5000,17468,503178,3493.600,3713.189,WM100,4
1782567051217,watermark-WM100,1,1782567046214,1782567051217,5003,18510,521688,3699.780,3712.712,WM100,4
1782567056271,watermark-WM100,1,1782567051217,1782567056271,5054,18082,539770,3577.760,3708.026,WM100,4
1782567061271,watermark-WM100,1,1782567056271,1782567061271,5000,16234,556004,3246.800,3692.710,WM100,4
1782567066271,watermark-WM100,1,1782567061271,1782567066271,5000,21781,577785,4356.200,3714.035,WM100,4
1782567071271,watermark-WM100,1,1782567066271,1782567071271,5000,20318,598103,4063.600,3724.920,WM100,4
1782567076272,watermark-WM100,1,1782567071271,1782567076272,5001,18637,616740,3726.655,3724.973,WM100,4
1782567081272,watermark-WM100,1,1782567076272,1782567081272,5000,20231,636971,4046.200,3734.389,WM100,4
1782567086272,watermark-WM100,1,1782567081272,1782567086272,5000,21848,658819,4369.600,3752.479,WM100,4
1782567091273,watermark-WM100,1,1782567086272,1782567091273,5001,16962,675781,3391.722,3742.488,WM100,4
1782567096287,watermark-WM100,1,1782567091273,1782567096287,5014,17734,693515,3536.897,3736.933,WM100,4
1782567101334,watermark-WM100,1,1782567096287,1782567101334,5047,18642,712157,3693.679,3735.788,WM100,4
1782567106334,watermark-WM100,1,1782567101334,1782567106334,5000,17034,729191,3406.800,3727.380,WM100,4
1782567111334,watermark-WM100,1,1782567106334,1782567111334,5000,20320,749511,4064.000,3735.769,WM100,4
1782567116334,watermark-WM100,1,1782567111334,1782567116334,5000,22843,772354,4568.600,3756.019,WM100,4
1782567121334,watermark-WM100,1,1782567116334,1782567121334,5000,21570,793924,4314.000,3769.265,WM100,4
1782567126336,watermark-WM100,1,1782567121334,1782567126336,5002,20502,814426,4098.760,3776.908,WM100,4
1782567131336,watermark-WM100,1,1782567126336,1782567131336,5000,22609,837035,4521.800,3793.789,WM100,4
1782567136336,watermark-WM100,1,1782567131336,1782567136336,5000,20230,857265,4046.000,3799.378,WM100,4
1782567141356,watermark-WM100,1,1782567136336,1782567141356,5020,17903,875168,3566.335,3794.306,WM100,4
1782567146438,watermark-WM100,1,1782567141356,1782567146438,5082,19581,894749,3853.011,3795.571,WM100,4
1782567151438,watermark-WM100,1,1782567146438,1782567151438,5000,21023,915772,4204.600,3804.067,WM100,4
1782567156439,watermark-WM100,1,1782567151438,1782567156439,5001,20097,935869,4018.596,3808.433,WM100,4
