timestamp_ms,label,source_subtask_index,window_start_ms,window_end_ms,window_duration_ms,window_events,total_events,instant_throughput_events_per_second,average_throughput_events_per_second,watermark_strategy,parallelism
1782828428707,q1-1h-result-WM100-global,-1,1782828422597,1782828428707,6110,2,2,0.329,0.329,WM100,2
1782828430622,q2-1h-result-WM100-global,-1,1782828422591,1782828430622,8031,2,2,0.260,0.260,WM100,2
1782828433343,q3-1day-result-WM100-global,-1,1782828422593,1782828433343,10750,2,2,0.186,0.186,WM100,2
1782828433343,q3-7day-result-WM100-global,-1,1782828422494,1782828433343,10849,2,2,0.185,0.185,WM100,2
1782828433398,q2-6h-result-WM100-global,-1,1782828422576,1782828433398,10822,2,2,0.211,0.211,WM100,2
1782828433743,q1-1h-result-WM100-global,-1,1782828428707,1782828433743,5036,85,87,16.878,7.823,WM100,2
1782828436210,q2-1h-result-WM100-global,-1,1782828430010,1782828436210,6200,132,134,23.971,10.110,WM100,2
1782828436599,q2-6h-result-WM100-global,-1,1782828431000,1782828436599,5599,30,31,5.358,2.211,WM100,2
1782828439006,q1-1h-result-WM100-global,-1,1782828433743,1782828439006,5263,88,175,16.721,10.682,WM100,2
1782828441488,q2-1h-result-WM100-global,-1,1782828435410,1782828441488,6078,154,288,30.146,15.732,WM100,2
1782828442352,q3-1day-result-WM100-global,-1,1782828433343,1782828442352,9009,165,167,18.315,8.453,WM100,2
1782828442403,q2-6h-result-WM100-global,-1,1782828436599,1782828442403,5804,30,61,5.169,3.077,WM100,2
1782828444009,q1-1h-result-WM100-global,-1,1782828439006,1782828444009,5003,95,270,18.989,12.625,WM100,2
1782828446493,q2-1h-result-WM100-global,-1,1782828440413,1782828446493,6080,145,433,28.677,18.588,WM100,2
1782828449058,q1-1h-result-WM100-global,-1,1782828444009,1782828449058,5049,95,365,18.816,13.807,WM100,2
1782828449106,q2-6h-result-WM100-global,-1,1782828442403,1782828449106,6703,40,101,5.967,3.807,WM100,2
1782828450209,q2-6h-result-WM100-global,-1,1782828433398,1782828450209,16811,20,21,1.190,0.760,WM100,2
1782828451259,q3-1day-result-WM100-global,-1,1782828442352,1782828451259,8907,166,333,18.637,11.617,WM100,2
1782828453324,q2-1h-result-WM100-global,-1,1782828445492,1782828453324,7832,145,578,20.352,18.971,WM100,2
1782828454062,q1-1h-result-WM100-global,-1,1782828449058,1782828454062,5004,95,460,18.985,14.631,WM100,2
1782828458115,q2-6h-result-WM100-global,-1,1782828449106,1782828458115,9009,50,172,7.479,4.935,WM100,2
1782828458529,q2-1h-result-WM100-global,-1,1782828452723,1782828458529,5806,142,720,27.824,20.239,WM100,2
1782828459070,q1-1h-result-WM100-global,-1,1782828454062,1782828459070,5008,92,552,18.371,15.145,WM100,2
1782828460270,q3-1day-result-WM100-global,-1,1782828451259,1782828460270,9011,165,498,18.311,13.218,WM100,2
1782828463819,q2-6h-result-WM100-global,-1,1782828458115,1782828463819,5704,30,151,5.259,3.661,WM100,2
1782828463833,q2-1h-result-WM100-global,-1,1782828457729,1782828463833,6104,116,836,21.315,20.362,WM100,2
1782828464074,q1-1h-result-WM100-global,-1,1782828459070,1782828464074,5004,88,640,17.586,15.440,WM100,2
1782828464865,q3-7day-result-WM100-global,-1,1782828433343,1782828464865,31522,82,84,2.601,1.983,WM100,2
1782828469037,q2-1h-result-WM100-global,-1,1782828463433,1782828469037,5604,120,956,23.059,20.668,WM100,2
1782828469134,q1-1h-result-WM100-global,-1,1782828464074,1782828469134,5060,92,732,18.182,15.738,WM100,2
1782828469365,q3-1day-result-WM100-global,-1,1782828460270,1782828469365,9095,160,658,17.592,14.069,WM100,2
1782828469423,q2-6h-result-WM100-global,-1,1782828455913,1782828469423,13510,40,242,5.338,5.241,WM100,2
1782828473827,q2-6h-result-WM100-global,-1,1782828467221,1782828473827,6606,30,101,4.541,1.971,WM100,2
1782828474384,q1-1h-result-WM100-global,-1,1782828469134,1782828474384,5250,87,819,16.573,15.823,WM100,2
1782828475642,q2-1h-result-WM100-global,-1,1782828468637,1782828475642,7005,98,1054,14.565,19.915,WM100,2
1782828476028,q2-6h-result-WM100-global,-1,1782828469423,1782828476028,6605,20,191,3.028,3.573,WM100,2
1782828478390,q3-1day-result-WM100-global,-1,1782828469365,1782828478390,9025,161,819,17.839,14.679,WM100,2
1782828479587,q1-1h-result-WM100-global,-1,1782828474383,1782828479587,5204,88,907,17.288,15.953,WM100,2
1782828480846,q2-1h-result-WM100-global,-1,1782828475442,1782828480846,5404,126,1180,24.212,20.298,WM100,2
1782828482833,q2-6h-result-WM100-global,-1,1782828473827,1782828482833,9006,50,342,6.900,5.747,WM100,2
1782828484647,q1-1h-result-WM100-global,-1,1782828479383,1782828484647,5264,94,1001,18.614,16.170,WM100,2
1782828486355,q2-1h-result-WM100-global,-1,1782828480646,1782828486355,5709,157,1337,29.464,21.062,WM100,2
1782828487397,q3-1day-result-WM100-global,-1,1782828478390,1782828487397,9007,161,980,17.875,15.123,WM100,2
1782828487437,q2-6h-result-WM100-global,-1,1782828481632,1782828487437,5805,20,231,3.445,3.561,WM100,2
1782828489651,q1-1h-result-WM100-global,-1,1782828484424,1782828489651,5227,90,1091,17.943,16.303,WM100,2
1782828491529,q2-1h-result-WM100-global,-1,1782828485854,1782828491529,5675,125,1462,24.411,21.312,WM100,2
1782828491940,q2-6h-result-WM100-global,-1,1782828482833,1782828491940,9107,20,151,2.196,2.177,WM100,2
1782828494705,q1-1h-result-WM100-global,-1,1782828489451,1782828494705,5254,90,1181,17.810,16.408,WM100,2
1782828496289,q3-7day-result-WM100-global,-1,1782828464865,1782828496289,31424,83,167,2.641,2.264,WM100,2
1782828496306,q3-1day-result-WM100-global,-1,1782828487397,1782828496306,8909,161,1141,18.072,15.479,WM100,2
1782828497764,q2-1h-result-WM100-global,-1,1782828490928,1782828497764,6836,115,1577,19.487,21.220,WM100,2
1782828499709,q1-1h-result-WM100-global,-1,1782828494504,1782828499709,5205,94,1275,18.391,16.540,WM100,2
1782828499745,q2-6h-result-WM100-global,-1,1782828487437,1782828499745,12308,70,452,7.826,5.911,WM100,2
1782828502769,q2-1h-result-WM100-global,-1,1782828496162,1782828502769,6607,138,1715,26.102,21.447,WM100,2
1782828504148,q2-6h-result-WM100-global,-1,1782828498545,1782828504148,5603,10,271,1.785,3.322,WM100,2
1782828504763,q1-1h-result-WM100-global,-1,1782828499709,1782828504763,5054,94,1369,18.599,16.666,WM100,2
1782828505314,q3-1day-result-WM100-global,-1,1782828496306,1782828505314,9008,161,1302,17.873,15.740,WM100,2
1782828507843,q2-1h-result-WM100-global,-1,1782828502369,1782828507843,5474,133,1848,25.846,21.705,WM100,2
1782828509770,q1-1h-result-WM100-global,-1,1782828504763,1782828509770,5007,92,1461,18.374,16.765,WM100,2
1782828509852,q2-6h-result-WM100-global,-1,1782828499745,1782828509852,10107,60,522,10.613,6.119,WM100,2
1782828512847,q2-1h-result-WM100-global,-1,1782828507643,1782828512847,5204,111,1959,22.182,21.733,WM100,2
1782828514421,q3-1day-result-WM100-global,-1,1782828505314,1782828514421,9107,162,1464,17.789,15.943,WM100,2
1782828514974,q1-1h-result-WM100-global,-1,1782828509770,1782828514974,5204,83,1544,15.949,16.719,WM100,2
1782828518081,q2-1h-result-WM100-global,-1,1782828512647,1782828518081,5434,130,2089,25.323,21.926,WM100,2
1782828518859,q2-6h-result-WM100-global,-1,1782828505349,1782828518859,13510,50,572,6.617,6.024,WM100,2
1782828520030,q1-1h-result-WM100-global,-1,1782828514974,1782828520030,5056,88,1632,17.405,16.754,WM100,2
1782828522262,q2-6h-result-WM100-global,-1,1782828516658,1782828522262,5604,20,361,3.569,3.621,WM100,2
1782828523410,q3-1day-result-WM100-global,-1,1782828514421,1782828523410,8989,162,1626,18.022,16.129,WM100,2
1782828524887,q2-1h-result-WM100-global,-1,1782828517681,1782828524887,7206,103,2192,17.303,21.666,WM100,2
1782828525234,q1-1h-result-WM100-global,-1,1782828520030,1782828525234,5204,94,1726,18.439,16.838,WM100,2
1782828527862,q3-7day-result-WM100-global,-1,1782828496289,1782828527862,31573,82,249,2.597,2.364,WM100,2
1782828527967,q2-6h-result-WM100-global,-1,1782828518859,1782828527967,9108,50,642,7.914,6.147,WM100,2
1782828529090,q2-1h-result-WM100-global,-1,1782828522685,1782828529090,6405,39,1132,6.089,10.632,WM100,2
1782828530291,q1-1h-result-WM100-global,-1,1782828525034,1782828530291,5257,92,1818,18.210,16.903,WM100,2
1782828532317,q3-1day-result-WM100-global,-1,1782828523410,1782828532317,8907,160,1786,17.963,16.278,WM100,2
1782828534363,q2-1h-result-WM100-global,-1,1782828524887,1782828534363,9476,162,2393,28.393,21.723,WM100,2
1782828534571,q2-6h-result-WM100-global,-1,1782828525665,1782828534571,8906,40,682,6.034,6.138,WM100,2
1782828535295,q1-1h-result-WM100-global,-1,1782828530082,1782828535295,5213,95,1913,18.578,16.978,WM100,2
1782828539173,q2-6h-result-WM100-global,-1,1782828532369,1782828539173,6804,20,291,2.939,2.496,WM100,2
1782828539398,q2-1h-result-WM100-global,-1,1782828531161,1782828539398,8237,157,2550,31.267,22.136,WM100,2
1782828540347,q1-1h-result-WM100-global,-1,1782828535294,1782828540347,5053,92,2005,18.209,17.031,WM100,2
1782828541344,q3-1day-result-WM100-global,-1,1782828532317,1782828541344,9027,161,1947,17.835,16.396,WM100,2
1782828542801,q2-1h-result-WM100-global,-1,1782828536164,1782828542801,6637,55,1298,8.287,10.798,WM100,2
1782828544777,q2-6h-result-WM100-global,-1,1782828539173,1782828544777,5604,40,331,7.138,2.709,WM100,2
1782828545351,q1-1h-result-WM100-global,-1,1782828540347,1782828545351,5004,88,2093,17.586,17.054,WM100,2
1782828548274,q2-1h-result-WM100-global,-1,1782828539398,1782828548274,8876,137,2742,24.843,22.106,WM100,2
1782828549280,q2-6h-result-WM100-global,-1,1782828534571,1782828549280,14709,20,431,1.360,3.402,WM100,2
1782828550352,q3-1day-result-WM100-global,-1,1782828541344,1782828550352,9008,161,2108,17.873,16.500,WM100,2
1782828550406,q1-1h-result-WM100-global,-1,1782828545351,1782828550406,5055,93,2186,18.398,17.107,WM100,2
1782828552683,q2-6h-result-WM100-global,-1,1782828544777,1782828552683,7906,30,361,3.795,2.775,WM100,2
1782828553677,q2-1h-result-WM100-global,-1,1782828545003,1782828553677,8674,130,2872,24.930,22.218,WM100,2
1782828555410,q1-1h-result-WM100-global,-1,1782828550406,1782828555410,5004,83,2269,16.587,17.087,WM100,2
1782828557089,q2-6h-result-WM100-global,-1,1782828549280,1782828557089,7809,30,461,3.842,3.427,WM100,2
1782828558712,q2-1h-result-WM100-global,-1,1782828550075,1782828558712,8637,139,3011,24.950,22.322,WM100,2
1782828559444,q3-7day-result-WM100-global,-1,1782828527862,1782828559444,31582,82,331,2.596,2.417,WM100,2
1782828559459,q3-1day-result-WM100-global,-1,1782828550352,1782828559459,9107,161,2269,17.679,16.579,WM100,2
1782828560463,q1-1h-result-WM100-global,-1,1782828555410,1782828560463,5053,86,2355,17.113,17.088,WM100,2
1782828562693,q2-6h-result-WM100-global,-1,1782828552683,1782828562693,10010,20,381,1.998,2.719,WM100,2
1782828563716,q2-1h-result-WM100-global,-1,1782828556279,1782828563716,7437,110,3121,21.982,22.309,WM100,2
1782828565467,q1-1h-result-WM100-global,-1,1782828560414,1782828565467,5053,93,2448,18.535,17.139,WM100,2
1782828566518,q2-1h-result-WM100-global,-1,1782828561283,1782828566518,5235,74,1615,14.136,11.223,WM100,2
1782828568266,q3-1day-result-WM100-global,-1,1782828559459,1782828568266,8807,160,2429,18.167,16.675,WM100,2
1782828568280,q3-global-result-WM100-global,-1,1782828422489,1782828568280,145791,2,2,0.014,0.014,WM100,2
1782828568297,q2-global-result-WM100-global,-1,1782828422612,1782828568297,145685,1,1,0.007,0.007,WM100,2
