query,window,event_time,event_timestamp_ms,window_start,window_end,carrier,origin_airport_id,dest_airport_id,crs_dep_time,dep_delay,cancelled,diverted,produced_at,watermark_strategy
q2,1h,2025-03-30T21:59,1743371940000,2025-03-30T21:00:00Z,2025-03-30T22:00:00Z,DL,13487,13485,2159,45.000,0.000,0.000,1782828828638,WM15
q2,1h,2025-04-01T17:59,1743530340000,2025-04-01T17:00:00Z,2025-04-01T18:00:00Z,AS,14747,10140,1759,-9.000,0.000,0.000,1782828836886,WM15
q2,1h,2025-04-01T17:59,1743530340000,2025-04-01T17:00:00Z,2025-04-01T18:00:00Z,AS,14747,14679,1759,-7.000,0.000,0.000,1782828836886,WM15
q2,1h,2025-04-01T17:59,1743530340000,2025-04-01T17:00:00Z,2025-04-01T18:00:00Z,DL,14100,10397,1759,14.000,0.000,0.000,1782828836886,WM15
q2,1h,2025-04-01T17:59,1743530340000,2025-04-01T17:00:00Z,2025-04-01T18:00:00Z,DL,14122,10397,1759,-5.000,0.000,0.000,1782828836886,WM15
q2,1h,2025-04-01T17:59,1743530340000,2025-04-01T17:00:00Z,2025-04-01T18:00:00Z,OO,11292,10627,1759,13.000,0.000,0.000,1782828836886,WM15
q2,1h,2025-04-01T17:59,1743530340000,2025-04-01T17:00:00Z,2025-04-01T18:00:00Z,UA,11292,14100,1759,24.000,0.000,0.000,1782828836886,WM15
q2,1h,2025-04-01T17:59,1743530340000,2025-04-01T17:00:00Z,2025-04-01T18:00:00Z,UA,11292,15919,1759,5.000,0.000,0.000,1782828836886,WM15
q2,1h,2025-04-01T17:59,1743530340000,2025-04-01T17:00:00Z,2025-04-01T18:00:00Z,YX,12945,11433,1759,-12.000,0.000,0.000,1782828836886,WM15
q2,1h,2025-04-04T18:57,1743793020000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,AA,12339,11057,1857,-1.000,0.000,0.000,1782828850566,WM15
q2,1h,2025-04-04T18:57,1743793020000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,DL,14908,14747,1857,-10.000,0.000,0.000,1782828850566,WM15
q2,1h,2025-04-04T18:57,1743793020000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,NK,11433,13204,1857,10.000,0.000,0.000,1782828850566,WM15
q2,1h,2025-04-04T18:57,1743793020000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,UA,13204,12266,1857,157.000,0.000,0.000,1782828850566,WM15
q2,1h,2025-04-04T18:58,1743793080000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,DL,12451,10397,1858,-8.000,0.000,0.000,1782828850569,WM15
q2,1h,2025-04-04T18:58,1743793080000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,UA,12889,11292,1858,60.000,0.000,0.000,1782828850569,WM15
q2,1h,2025-04-04T18:58,1743793080000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,YX,14492,14122,1858,-6.000,0.000,0.000,1782828850569,WM15
q2,1h,2025-04-04T18:59,1743793140000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,AA,13303,14492,1859,5.000,0.000,0.000,1782828850573,WM15
q2,1h,2025-04-04T18:59,1743793140000,2025-04-04T18:00:00Z,2025-04-04T19:00:00Z,AS,13495,14057,1859,32.000,0.000,0.000,1782828850573,WM15
