query,window,event_time,event_timestamp_ms,window_start,window_end,carrier,origin_airport_id,dest_airport_id,crs_dep_time,dep_delay,cancelled,diverted,produced_at,watermark_strategy
q2,1h,2025-03-16T18:53,1742151180000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AS,14679,14747,1853,-8.000,0.000,0.000,1782828765067,ADAPTIVE
q2,1h,2025-03-16T18:53,1742151180000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,MQ,14107,11637,1853,-2.000,0.000,0.000,1782828765067,ADAPTIVE
q2,1h,2025-03-16T18:53,1742151180000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,UA,12266,11618,1853,46.000,0.000,0.000,1782828765067,ADAPTIVE
q2,1h,2025-03-16T18:54,1742151240000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,14908,11298,1854,-4.000,0.000,0.000,1782828765070,ADAPTIVE
q2,1h,2025-03-16T18:54,1742151240000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,UA,11618,14869,1854,45.000,0.000,0.000,1782828765070,ADAPTIVE
q2,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AA,12892,10423,1855,-6.000,0.000,0.000,1782828765073,ADAPTIVE
q2,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,AS,14747,12889,1855,-4.000,0.000,0.000,1782828765073,ADAPTIVE
q2,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,DL,13303,13487,1855,120.000,0.000,0.000,1782828765073,ADAPTIVE
q2,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,DL,13342,13487,1855,-2.000,0.000,0.000,1782828765073,ADAPTIVE
q2,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,F9,13204,14843,1855,38.000,0.000,0.000,1782828765073,ADAPTIVE
q2,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,OO,13487,12003,1855,-5.000,0.000,0.000,1782828765073,ADAPTIVE
q2,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,OO,14771,11638,1855,139.000,0.000,0.000,1782828765073,ADAPTIVE
q2,1h,2025-03-16T18:55,1742151300000,2025-03-16T18:00:00Z,2025-03-16T19:00:00Z,UA,12264,14893,1855,86.000,0.000,0.000,1782828765073,ADAPTIVE
