query,window,event_time,event_timestamp_ms,window_start,window_end,carrier,origin_airport_id,dest_airport_id,crs_dep_time,dep_delay,cancelled,diverted,produced_at,watermark_strategy
q3,7day,2025-04-16T23:55,1744847700000,2025-04-10T00:00:00Z,2025-04-17T00:00:00Z,DL,14771,10397,2355,-12.000,0.000,0.000,1782828905486,WM15
q3,7day,2025-04-16T23:59,1744847940000,2025-04-10T00:00:00Z,2025-04-17T00:00:00Z,AA,12892,11298,2359,-6.000,0.000,0.000,1782828905499,WM15
q3,7day,2025-04-16T23:59,1744847940000,2025-04-10T00:00:00Z,2025-04-17T00:00:00Z,AA,14869,11057,2359,-9.000,0.000,0.000,1782828905499,WM15
q3,7day,2025-04-16T23:59,1744847940000,2025-04-10T00:00:00Z,2025-04-17T00:00:00Z,AA,14869,13303,2359,61.000,0.000,0.000,1782828905498,WM15
q3,7day,2025-04-16T23:59,1744847940000,2025-04-10T00:00:00Z,2025-04-17T00:00:00Z,AA,14893,11298,2359,-11.000,0.000,0.000,1782828905499,WM15
q3,7day,2025-04-16T23:59,1744847940000,2025-04-10T00:00:00Z,2025-04-17T00:00:00Z,DL,14869,12478,2359,-1.000,0.000,0.000,1782828905499,WM15
