ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-03-01 00:00:00,1,0,45953,6794,13.89,1766.00,"[(AA,13303,1766.00), (AA,12173,1490.00), (B6,10721,1412.00), (OH,12217,1318.00), (AA,14492,1272.00), (AA,13244,1175.00), (AA,11638,1147.00), (AA,12094,1144.00), (AA,13851,1098.00), (AA,14193,1078.00), (OH,12448,1058.00), (DL,12953,995.00), (OH,12278,983.00), (AA,10423,972.00), (F9,13232,971.00), (DL,12953,964.00), (AA,11109,953.00), (OO,11109,945.00), (DL,14869,910.00), (AA,10693,890.00)]"
2025-03-01 00:00:00,10,0,19264,2730,13.49,1050.00,"[(AA,14107,1050.00), (F9,14100,1008.00), (B6,10721,977.00), (DL,10721,973.00), (DL,12478,925.00), (AA,14747,823.00), (AA,13204,750.00), (AA,14492,712.00), (UA,11292,702.00), (AA,14771,692.00), (AA,15304,680.00), (AA,11292,675.00), (MQ,12323,671.00), (AA,11298,649.00), (AA,10423,647.00), (DL,10721,636.00), (DL,10397,620.00), (AA,12266,618.00), (AA,10821,580.00), (AA,14683,573.00)]"
2025-03-01 00:00:00,2,0,46944,6535,12.98,1899.00,"[(AA,14107,1899.00), (AA,11057,1489.00), (OO,11921,1120.00), (OO,11315,1087.00), (MQ,14107,998.00), (OO,12280,990.00), (OO,14877,986.00), (OO,10713,977.00), (OO,12177,975.00), (OO,12896,940.00), (OO,14457,931.00), (UA,12441,914.00), (AA,11057,910.00), (DL,12953,901.00), (OO,10372,897.00), (OO,14877,889.00), (OO,13851,885.00), (OO,14747,873.00), (AA,11298,868.00), (OO,14869,867.00)]"
2025-03-01 00:00:00,3,0,45096,6355,13.42,1300.00,"[(AA,13303,1300.00), (B6,10721,1204.00), (DL,14747,1188.00), (AA,11298,1095.00), (DL,12892,1062.00), (DL,12892,1061.00), (DL,14908,1036.00), (DL,14747,977.00), (DL,14771,976.00), (F9,11618,972.00), (F9,13303,968.00), (DL,12889,963.00), (DL,10792,921.00), (DL,14689,906.00), (DL,10208,888.00), (AA,12892,874.00), (OO,14696,852.00), (OO,10146,847.00), (DL,14831,845.00), (F9,11292,841.00)]"
2025-03-01 00:00:00,4,0,40896,5556,12.78,1986.00,"[(AA,14100,1986.00), (AA,12441,1546.00), (OO,14877,1320.00), (F9,11292,1273.00), (AA,11278,1051.00), (B6,12478,1018.00), (OO,13184,1012.00), (OO,15370,999.00), (OO,12559,964.00), (AA,10423,945.00), (OO,10693,933.00), (DL,14869,911.00), (AA,10423,907.00), (AA,14492,899.00), (OO,11267,899.00), (OO,13342,898.00), (AA,11278,869.00), (AA,11057,867.00), (OO,10693,864.00), (AA,13495,861.00)]"
2025-03-01 00:00:00,5,0,20775,4049,19.01,1587.00,"[(AA,13930,1587.00), (AA,14635,1165.00), (DL,10397,1160.00), (OH,10257,1157.00), (AA,15304,1118.00), (DL,11433,1092.00), (OH,10781,1051.00), (DL,12892,1031.00), (DL,10397,995.00), (B6,14027,976.00), (DL,11433,954.00), (UA,14771,949.00), (UA,12266,944.00), (B6,11697,933.00), (AA,11057,925.00), (OH,10599,921.00), (AA,12953,918.00), (DL,12892,914.00), (OH,10208,910.00), (DL,10397,894.00)]"
2025-03-01 00:00:00,6,0,31195,3972,10.93,1279.00,"[(AA,15016,1279.00), (AA,10257,1233.00), (F9,11298,1203.00), (AA,14100,1148.00), (DL,10397,1041.00), (AA,12478,1030.00), (OH,11973,1026.00), (DL,13487,986.00), (AA,10257,934.00), (DL,10397,913.00), (OH,14685,865.00), (OH,11252,835.00), (AA,11433,754.00), (AA,12323,738.00), (AA,10434,712.00), (MQ,15919,708.00), (AA,10721,706.00), (OH,11267,685.00), (AA,10821,685.00), (AA,11278,671.00)]"
2025-03-01 00:00:00,7,0,28823,3349,9.48,1266.00,"[(OO,14893,1266.00), (G4,14457,1194.00), (DL,12478,1094.00), (G4,11193,1042.00), (DL,10397,1030.00), (G4,14314,1030.00), (G4,11193,964.00), (G4,10408,964.00), (G4,13367,952.00), (G4,10666,942.00), (AA,13930,893.00), (UA,11618,870.00), (AA,11298,853.00), (F9,11292,838.00), (F9,14107,826.00), (HA,12173,814.00), (AA,13930,739.00), (F9,11292,737.00), (AA,13303,724.00), (AA,13930,719.00)]"
2025-03-01 00:00:00,8,0,25249,3104,10.94,1196.00,"[(DL,11433,1196.00), (AA,13303,1019.00), (DL,11433,1000.00), (AA,14107,986.00), (AA,11278,959.00), (AA,13930,945.00), (UA,13930,904.00), (UA,12266,902.00), (F9,11292,877.00), (DL,12892,826.00), (DL,10397,811.00), (UA,13930,775.00), (DL,10397,752.00), (UA,12266,699.00), (AA,14100,588.00), (AA,11298,530.00), (AS,14747,523.00), (UA,11618,521.00), (DL,10397,519.00), (AA,11298,502.00)]"
2025-03-01 00:00:00,9,0,31134,2745,6.26,1163.00,"[(B6,11697,1163.00), (DL,14869,963.00), (AA,10423,891.00), (F9,13930,871.00), (AA,14262,867.00), (OO,14698,796.00), (OO,11003,754.00), (OO,12280,717.00), (OO,12896,694.00), (DL,11433,664.00), (AA,14908,658.00), (AA,12889,657.00), (AA,14057,649.00), (AA,14683,641.00), (AA,11057,634.00), (AA,14908,628.00), (B6,10721,627.00), (DL,12478,608.00), (AA,11298,596.00), (AA,11057,579.00)]"
