ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-04-27 12:00:00,8,11278,157,21,9.55,224.00,"[(OH,12278,224.00), (OH,10994,223.00), (B6,14027,128.00), (OH,14193,106.00), (OH,15016,94.00), (AA,14107,79.00), (OH,10792,76.00), (AA,10721,56.00), (YX,12478,54.00), (OH,15096,53.00), (OH,11267,53.00), (WN,13495,50.00), (DL,11433,49.00), (YX,14321,43.00), (OH,10257,41.00), (YX,14730,41.00), (AA,11298,40.00), (UA,12266,39.00), (OH,13244,36.00), (OH,15096,36.00)]"
2025-04-27 12:00:00,9,10721,153,18,6.73,225.00,"[(UA,11618,225.00), (AA,14107,134.00), (NK,13577,68.00), (B6,14771,64.00), (B6,12953,57.00), (AA,11298,56.00), (G4,14986,54.00), (DL,11298,51.00), (B6,11697,49.00), (YX,14730,48.00), (DL,14747,43.00), (YX,10821,42.00), (NK,14635,42.00), (B6,10792,41.00), (B6,12478,34.00), (YX,14492,34.00), (WN,11259,33.00), (AA,11057,32.00)]"
2025-04-27 18:00:00,1,11292,243,47,18.42,660.00,"[(OO,14812,660.00), (OO,11109,192.00), (OO,14783,182.00), (UA,15016,176.00), (WN,13930,126.00), (WN,11042,115.00), (UA,13891,114.00), (WN,14107,109.00), (OO,11921,90.00), (UA,14771,88.00), (WN,13204,85.00), (UA,12889,81.00), (UA,14869,80.00), (WN,11423,68.00), (OO,10372,62.00), (UA,14771,61.00), (WN,12278,61.00), (F9,14107,60.00), (WN,14057,57.00), (WN,11259,54.00)]"
2025-04-27 18:00:00,10,12892,147,23,7.62,139.00,"[(F9,10397,139.00), (DL,12889,101.00), (AA,14107,86.00), (AA,12173,70.00), (F9,14107,66.00), (F9,14771,62.00), (DL,10397,61.00), (WN,14893,56.00), (DL,12478,53.00), (OO,15376,49.00), (DL,14771,49.00), (DL,13495,48.00), (AA,13303,46.00), (UA,14771,42.00), (DL,14057,39.00), (OO,11540,39.00), (WN,14831,39.00), (HA,12173,38.00), (OO,14771,37.00), (DL,12478,35.00)]"
2025-04-27 18:00:00,2,13930,256,43,15.30,322.00,"[(F9,15304,322.00), (UA,11618,216.00), (UA,10721,161.00), (UA,11278,150.00), (AA,11618,138.00), (NK,11618,131.00), (UA,15412,125.00), (UA,13230,123.00), (OO,14633,108.00), (AA,11298,103.00), (UA,11193,98.00), (UA,11618,94.00), (AA,11278,86.00), (YX,13851,83.00), (OO,13342,83.00), (UA,10423,83.00), (YX,15096,80.00), (UA,13871,75.00), (UA,10785,73.00), (MQ,10685,71.00)]"
2025-04-27 18:00:00,3,11298,273,40,16.01,682.00,"[(OH,12278,682.00), (MQ,13290,202.00), (MQ,12191,197.00), (AA,11423,190.00), (AA,11540,178.00), (AA,10994,161.00), (UA,11292,147.00), (UA,11618,139.00), (AA,13303,104.00), (AA,10529,102.00), (AA,14683,98.00), (AA,11292,96.00), (AA,10140,92.00), (OO,11413,73.00), (F9,13303,70.00), (AA,14635,69.00), (AA,11278,68.00), (AA,11697,66.00), (AA,12896,65.00), (AA,14771,59.00)]"
2025-04-27 18:00:00,4,12889,146,35,17.79,164.00,"[(WN,10423,164.00), (G4,10666,141.00), (UA,11618,120.00), (WN,10792,103.00), (WN,13487,96.00), (WN,11109,85.00), (WN,10397,82.00), (WN,14107,67.00), (WN,10800,61.00), (WN,14107,60.00), (AA,11298,58.00), (F9,11042,55.00), (WN,14747,51.00), (WN,11884,50.00), (WN,12892,50.00), (AS,14747,49.00), (HA,12173,48.00), (WN,13796,48.00), (F9,14679,44.00), (WN,13796,43.00)]"
2025-04-27 18:00:00,5,10397,292,32,9.36,266.00,"[(F9,14492,266.00), (OO,14814,188.00), (UA,11618,150.00), (DL,11618,114.00), (F9,12892,113.00), (F9,15304,108.00), (DL,11618,98.00), (DL,14027,97.00), (F9,13204,92.00), (DL,13931,91.00), (NK,13495,89.00), (F9,11618,85.00), (F9,12478,75.00), (DL,14908,70.00), (OO,10980,67.00), (DL,15096,64.00), (AA,11298,60.00), (F9,11697,56.00), (NK,11618,51.00), (DL,13204,50.00)]"
2025-04-27 18:00:00,6,11278,95,31,25.26,241.00,"[(B6,11697,241.00), (OH,10693,233.00), (OH,11042,170.00), (OH,14193,156.00), (YX,12478,122.00), (AA,11298,120.00), (OH,12197,114.00), (YX,14122,86.00), (OH,15096,69.00), (AA,10721,65.00), (OH,13296,64.00), (OH,15249,58.00), (OH,10792,53.00), (OH,11193,50.00), (AA,13930,49.00), (OH,11995,45.00), (YX,12339,45.00), (OH,15016,44.00), (OH,10208,43.00), (WN,10397,42.00)]"
2025-04-27 18:00:00,7,11618,70,30,53.26,327.00,"[(DL,10397,327.00), (UA,11042,235.00), (B6,14843,208.00), (DL,13487,200.00), (UA,15304,194.00), (B6,11697,174.00), (UA,14986,173.00), (UA,13495,166.00), (AS,14771,155.00), (YX,12264,149.00), (UA,13931,139.00), (UA,11697,136.00), (UA,10792,126.00), (UA,14107,110.00), (UA,12451,107.00), (F9,10397,103.00), (UA,12266,101.00), (UA,13204,94.00), (B6,13204,90.00), (UA,10994,74.00)]"
