ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-02-01 00:00:00,1,13795,59,6,13.92,324.00,"[(OH,11057,324.00), (OH,11057,163.00), (OH,11057,147.00), (OH,11057,122.00), (OH,11057,122.00), (OH,11057,39.00)]"
2025-02-01 00:00:00,2,10617,54,4,2.04,107.00,"[(OO,11292,107.00), (OO,14771,53.00), (OO,11292,51.00), (OO,14771,34.00)]"
2025-03-01 00:00:00,1,10617,106,14,7.61,152.00,"[(OO,11292,152.00), (OO,11292,137.00), (OO,11292,107.00), (OO,14771,89.00), (OO,14771,85.00), (OO,14771,85.00), (OO,14771,65.00), (OO,11292,65.00), (OO,14771,53.00), (OO,11292,51.00), (OO,14771,50.00), (OO,11292,41.00), (OO,14771,35.00), (OO,14771,34.00)]"
2025-03-01 00:00:00,2,13795,83,11,15.01,324.00,"[(OH,11057,324.00), (OH,11057,247.00), (OH,11057,163.00), (OH,11057,147.00), (OH,11057,122.00), (OH,11057,122.00), (OH,11057,58.00), (OH,11057,54.00), (OH,11057,39.00), (OH,11057,39.00), (OH,11057,38.00)]"
2025-03-01 00:00:00,3,11641,50,8,23.30,258.00,"[(OO,10397,258.00), (OO,10397,224.00), (OO,10397,208.00), (OO,10397,167.00), (OO,10397,158.00), (OO,10397,131.00), (OO,10397,102.00), (OO,10397,101.00)]"
2025-04-01 00:00:00,1,10617,164,22,10.15,413.00,"[(OO,14771,413.00), (OO,11292,331.00), (OO,11292,152.00), (OO,11292,137.00), (OO,11292,107.00), (OO,14771,89.00), (OO,14771,85.00), (OO,14771,85.00), (OO,14771,65.00), (OO,11292,65.00), (OO,14771,59.00), (OO,11292,53.00), (OO,14771,53.00), (OO,11292,51.00), (OO,14771,50.00), (OO,14771,48.00), (OO,11292,41.00), (OO,14771,35.00), (OO,14771,34.00), (OO,14771,34.00)]"
2025-04-01 00:00:00,2,13795,105,12,13.11,324.00,"[(OH,11057,324.00), (OH,11057,247.00), (OH,11057,163.00), (OH,11057,147.00), (OH,11057,145.00), (OH,11057,122.00), (OH,11057,122.00), (OH,11057,58.00), (OH,11057,54.00), (OH,11057,39.00), (OH,11057,39.00), (OH,11057,38.00)]"
2025-04-01 00:00:00,3,11641,82,10,12.57,258.00,"[(OO,10397,258.00), (OO,10397,224.00), (OO,10397,208.00), (OO,10397,167.00), (OO,10397,158.00), (OO,10397,131.00), (OO,10397,102.00), (OO,10397,101.00), (OH,11057,48.00), (OO,10397,32.00)]"
