window_start,window_end,airline,num_flights,completed,cancelled,diverted,dep_delay_mean,cancellation_rate,late_departure_rate
2025-01-01T00:00:00Z,2025-01-01T01:00:00Z,AA,13,13,0,0,7.38,0.0000,30.7692
2025-01-01T00:00:00Z,2025-01-01T01:00:00Z,DL,1,1,0,0,-6.00,0.0000,0.0000
2025-01-01T00:00:00Z,2025-01-01T01:00:00Z,UA,7,7,0,0,10.57,0.0000,14.2857
2025-01-01T01:00:00Z,2025-01-01T02:00:00Z,AA,1,1,0,0,-7.00,0.0000,0.0000
2025-01-01T01:00:00Z,2025-01-01T02:00:00Z,DL,2,2,0,0,-5.00,0.0000,0.0000
2025-01-01T01:00:00Z,2025-01-01T02:00:00Z,UA,1,1,0,0,-3.00,0.0000,0.0000
2025-01-01T02:00:00Z,2025-01-01T03:00:00Z,UA,1,1,0,0,1.00,0.0000,0.0000
2025-01-01T03:00:00Z,2025-01-01T04:00:00Z,DL,1,1,0,0,-2.00,0.0000,0.0000
2025-01-01T05:00:00Z,2025-01-01T06:00:00Z,AA,98,97,0,1,-2.99,0.0000,5.1020
2025-01-01T05:00:00Z,2025-01-01T06:00:00Z,DL,55,55,0,0,-2.89,0.0000,3.6364
2025-01-01T05:00:00Z,2025-01-01T06:00:00Z,UA,41,41,0,0,8.41,0.0000,4.8780
2025-01-01T05:00:00Z,2025-01-01T06:00:00Z,WN,17,17,0,0,0.59,0.0000,5.8824
2025-01-01T06:00:00Z,2025-01-01T07:00:00Z,AA,161,161,0,0,9.09,0.0000,6.8323
2025-01-01T06:00:00Z,2025-01-01T07:00:00Z,DL,172,172,0,0,1.77,0.0000,5.2326
2025-01-01T06:00:00Z,2025-01-01T07:00:00Z,UA,114,114,0,0,7.11,0.0000,10.5263
2025-01-01T06:00:00Z,2025-01-01T07:00:00Z,WN,191,190,0,1,0.23,0.0000,4.7120
2025-01-01T07:00:00Z,2025-01-01T08:00:00Z,AA,129,128,1,0,5.74,0.7752,7.8125
2025-01-01T07:00:00Z,2025-01-01T08:00:00Z,DL,190,190,0,0,5.28,0.0000,10.5263
2025-01-01T07:00:00Z,2025-01-01T08:00:00Z,UA,162,161,1,0,2.52,0.6173,9.3168
2025-01-01T07:00:00Z,2025-01-01T08:00:00Z,WN,210,209,1,0,0.44,0.4762,5.2632
2025-01-01T08:00:00Z,2025-01-01T09:00:00Z,AA,179,179,0,0,-0.98,0.0000,5.5866
2025-01-01T08:00:00Z,2025-01-01T09:00:00Z,DL,160,160,0,0,4.81,0.0000,11.8750
2025-01-01T08:00:00Z,2025-01-01T09:00:00Z,UA,169,169,0,0,0.05,0.0000,7.6923
2025-01-01T08:00:00Z,2025-01-01T09:00:00Z,WN,225,225,0,0,1.07,0.0000,7.1111
2025-01-01T09:00:00Z,2025-01-01T10:00:00Z,AA,127,127,0,0,2.13,0.0000,7.0866
2025-01-01T09:00:00Z,2025-01-01T10:00:00Z,DL,109,109,0,0,3.50,0.0000,6.4220
2025-01-01T09:00:00Z,2025-01-01T10:00:00Z,UA,123,120,2,1,9.82,1.6260,21.4876
2025-01-01T09:00:00Z,2025-01-01T10:00:00Z,WN,243,242,1,0,3.28,0.4115,9.9174
2025-01-01T10:00:00Z,2025-01-01T11:00:00Z,AA,132,131,0,1,13.98,0.0000,8.3333
2025-01-01T10:00:00Z,2025-01-01T11:00:00Z,DL,127,127,0,0,3.15,0.0000,11.0236
2025-01-01T10:00:00Z,2025-01-01T11:00:00Z,UA,109,109,0,0,5.18,0.0000,15.5963
2025-01-01T10:00:00Z,2025-01-01T11:00:00Z,WN,222,222,0,0,2.81,0.0000,11.7117
2025-01-01T11:00:00Z,2025-01-01T12:00:00Z,AA,148,148,0,0,6.70,0.0000,11.4865
2025-01-01T11:00:00Z,2025-01-01T12:00:00Z,DL,182,182,0,0,0.83,0.0000,6.5934
2025-01-01T11:00:00Z,2025-01-01T12:00:00Z,UA,116,116,0,0,7.85,0.0000,18.9655
2025-01-01T11:00:00Z,2025-01-01T12:00:00Z,WN,243,241,2,0,3.73,0.8230,10.7884
2025-01-01T12:00:00Z,2025-01-01T13:00:00Z,AA,133,132,0,1,8.43,0.0000,18.0451
2025-01-01T12:00:00Z,2025-01-01T13:00:00Z,DL,142,141,0,1,4.23,0.0000,15.4930
2025-01-01T12:00:00Z,2025-01-01T13:00:00Z,UA,112,112,0,0,6.54,0.0000,15.1786
2025-01-01T12:00:00Z,2025-01-01T13:00:00Z,WN,218,218,0,0,6.14,0.0000,16.5138
2025-01-01T13:00:00Z,2025-01-01T14:00:00Z,AA,137,137,0,0,4.81,0.0000,13.8686
2025-01-01T13:00:00Z,2025-01-01T14:00:00Z,DL,111,110,0,1,6.50,0.0000,16.2162
