ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-01-01T00:00:00Z,AA,0,13,-11.00,-5.00,0.00,21.00,26.00,45.00
2025-01-01T00:00:00Z,AA,1,1,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
2025-01-01T00:00:00Z,AA,5,97,-13.00,-6.97,-5.00,-1.21,2.00,30.00
2025-01-01T00:00:00Z,AA,6,161,-15.00,-7.06,-4.86,-3.00,1.64,1418.00
2025-01-01T00:00:00Z,AA,7,128,-13.00,-7.00,-4.00,-1.27,7.00,301.00
2025-01-01T00:00:00Z,AA,8,179,-14.00,-6.91,-3.97,-1.31,6.00,127.00
2025-01-01T00:00:00Z,AA,9,127,-12.00,-5.06,-3.14,0.16,12.08,357.00
2025-01-01T00:00:00Z,AA,10,131,-11.00,-5.00,-3.49,-0.30,12.30,1559.00
2025-01-01T00:00:00Z,AA,11,148,-15.00,-4.96,-3.03,2.11,18.57,432.00
2025-01-01T00:00:00Z,AA,12,132,-11.00,-4.94,-1.77,7.53,26.70,339.00
2025-01-01T00:00:00Z,AA,13,137,-13.00,-5.89,-2.84,2.41,20.57,156.00
2025-01-01T00:00:00Z,AA,14,132,-17.00,-5.55,-2.83,3.27,24.00,244.00
2025-01-01T00:00:00Z,AA,15,123,-10.00,-5.04,-2.08,4.85,33.90,1485.00
2025-01-01T00:00:00Z,AA,16,144,-16.00,-5.00,-2.90,2.69,25.56,142.00
2025-01-01T00:00:00Z,AA,17,139,-10.00,-4.80,-1.81,7.36,36.84,187.00
2025-01-01T00:00:00Z,AA,18,145,-22.00,-4.84,-1.33,9.34,40.00,228.00
2025-01-01T00:00:00Z,AA,19,131,-12.00,-4.95,-1.46,8.70,26.75,84.00
2025-01-01T00:00:00Z,AA,20,131,-17.00,-4.19,-1.36,8.43,30.08,184.00
2025-01-01T00:00:00Z,AA,21,87,-16.00,-5.19,-2.40,5.25,31.00,505.00
2025-01-01T00:00:00Z,AA,22,83,-12.00,-6.00,-3.84,3.92,14.00,422.00
2025-01-01T00:00:00Z,AA,23,34,-13.00,-5.00,-3.00,1.00,9.00,55.00
2025-01-01T00:00:00Z,DL,0,1,-6.00,-6.00,-6.00,-6.00,-6.00,-6.00
2025-01-01T00:00:00Z,DL,1,2,-9.00,-9.00,-1.00,-1.00,-1.00,-1.00
2025-01-01T00:00:00Z,DL,3,1,-2.00,-2.00,-2.00,-2.00,-2.00,-2.00
2025-01-01T00:00:00Z,DL,5,55,-16.00,-7.00,-3.38,-1.00,4.00,30.00
2025-01-01T00:00:00Z,DL,6,172,-17.00,-7.36,-4.48,-0.87,7.80,270.00
2025-01-01T00:00:00Z,DL,7,190,-19.00,-6.00,-3.64,-0.70,16.21,339.00
2025-01-01T00:00:00Z,DL,8,160,-19.00,-6.38,-3.90,1.71,29.83,191.00
2025-01-01T00:00:00Z,DL,9,109,-16.00,-5.00,-2.94,0.84,11.65,243.00
2025-01-01T00:00:00Z,DL,10,127,-16.00,-7.32,-4.08,0.43,18.52,214.00
2025-01-01T00:00:00Z,DL,11,182,-15.00,-6.11,-3.70,1.04,9.75,297.00
2025-01-01T00:00:00Z,DL,12,141,-20.00,-6.58,-3.31,3.99,32.63,184.00
2025-01-01T00:00:00Z,DL,13,110,-15.00,-5.44,-1.83,4.03,22.50,82.00
2025-01-01T00:00:00Z,DL,14,123,-17.00,-5.33,-2.29,5.90,30.05,214.00
2025-01-01T00:00:00Z,DL,15,128,-19.00,-5.10,-1.88,4.61,22.10,271.00
2025-01-01T00:00:00Z,DL,16,92,-20.00,-6.72,-2.92,4.00,44.00,168.00
2025-01-01T00:00:00Z,DL,17,132,-18.00,-7.91,-3.69,3.00,22.30,203.00
2025-01-01T00:00:00Z,DL,18,83,-16.00,-5.61,-2.88,4.08,17.00,319.00
2025-01-01T00:00:00Z,DL,19,76,-10.00,-4.83,-2.44,1.30,7.00,48.00
2025-01-01T00:00:00Z,DL,20,51,-10.00,-7.00,-2.38,8.00,33.00,163.00
2025-01-01T00:00:00Z,DL,21,77,-18.00,-6.25,-2.13,3.08,15.00,45.00
2025-01-01T00:00:00Z,DL,22,68,-14.00,-6.25,-3.33,1.75,24.00,872.00
2025-01-01T00:00:00Z,DL,23,21,-17.00,-8.00,-4.00,-1.00,0.00,11.00
2025-01-01T00:00:00Z,UA,0,7,-7.00,-5.00,-3.00,6.00,85.00,85.00
2025-01-01T00:00:00Z,UA,1,1,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00
2025-01-01T00:00:00Z,UA,2,1,1.00,1.00,1.00,1.00,1.00,1.00
2025-01-01T00:00:00Z,UA,5,41,-11.00,-7.00,-4.88,-1.00,2.00,480.00
2025-01-01T00:00:00Z,UA,6,114,-15.00,-6.00,-2.83,2.00,17.65,336.00
2025-01-01T00:00:00Z,UA,7,161,-13.00,-6.35,-3.26,-0.61,15.24,145.00
