window_type,scope,airline,hour,metric,wm15_mean,wm100_mean,adaptive_mean,abs_diff_wm100_minus_wm15,pct_diff_wm100_vs_wm15,abs_diff_adaptive_minus_wm15,pct_diff_adaptive_vs_wm15,wm15_non_null_values,wm100_non_null_values,adaptive_non_null_values
1day,airline_hour,AA,5,p90,17.363361,17.363361,17.363361,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,5,max,534.453782,534.453782,534.453782,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,6,min,-14.260504,-14.260504,-14.260504,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,6,p25,-7.23958,-7.23958,-7.23958,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,6,p50,-4.644202,-4.644202,-4.644202,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,6,p75,-0.562269,-0.562269,-0.562269,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,6,p90,16.567479,16.567479,16.567479,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,6,max,728.605042,728.605042,728.605042,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,7,min,-14.462185,-14.462185,-14.462185,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,7,p25,-6.69479,-6.69479,-6.69479,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,7,p50,-4.091261,-4.091261,-4.091261,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,7,p75,0.363109,0.363109,0.363109,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,7,p90,17.614958,17.614958,17.614958,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,7,max,694.94958,694.94958,694.94958,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,8,min,-13.252101,-13.252101,-13.252101,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,8,p25,-5.903193,-5.903193,-5.903193,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,8,p50,-3.274874,-3.274874,-3.274874,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,8,p75,2.689076,2.689076,2.689076,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,8,p90,27.041261,27.041261,27.041261,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,8,max,616.714286,616.714286,616.714286,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,9,min,-12.747899,-12.747899,-12.747899,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,9,p25,-5.447815,-5.447815,-5.447815,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,9,p50,-2.543866,-2.543866,-2.543866,0.0,-0.0,0.0,-0.0,119,119,119
1day,airline_hour,AA,9,p75,5.000336,5.000336,5.000336,0.0,0.0,0.0,0.0,119,119,119
1day,airline_hour,AA,9,p90,31.629664,31.629664,31.629664,0.0,0.0,0.0,0.0,119,119,119
